id,image_path,task_aux,transfer_count,difficulty,station_count,line_count,interchange_count
TR0001,train_images/TR0001.png,source=Forest;target=Delta,1,easy,10,3,2
TR0002,train_images/TR0002.png,source=Lagoon;target=Cedar,3,hard,57,8,7
TR0003,train_images/TR0003.png,source=Delta;target=Central,0,easy,7,2,1
TR0004,train_images/TR0004.png,source=River;target=Aster,3,medium,21,4,3
TR0005,train_images/TR0005.png,source=Park;target=Iris,1,medium,24,5,3
TR0006,train_images/TR0006.png,source=Grove;target=Terrace,1,medium,22,4,2
TR0007,train_images/TR0007.png,source=Aster1;target=York,1,hard,65,9,7
TR0008,train_images/TR0008.png,source=Grove;target=Beacon,1,easy,10,3,2
TR0009,train_images/TR0009.png,source=Park;target=Forest,1,medium,18,4,3
TR0010,train_images/TR0010.png,source=Delta;target=Yarrow,1,medium,28,5,4
TR0011,train_images/TR0011.png,source=Forest;target=Central,1,easy,7,2,1
TR0012,train_images/TR0012.png,source=Jade;target=Meadow,1,hard,47,6,4
TR0013,train_images/TR0013.png,source=Iris;target=Jade,1,medium,20,4,2
TR0014,train_images/TR0014.png,source=Maple;target=Zenith,1,medium,28,6,4
TR0015,train_images/TR0015.png,source=Brook;target=Park,3,medium,28,6,4
TR0016,train_images/TR0016.png,source=Grove;target=Terrace,1,medium,28,5,4
TR0017,train_images/TR0017.png,source=Park;target=Aurora,2,medium,30,6,4
TR0018,train_images/TR0018.png,source=Forest;target=Harbor,1,medium,21,4,3
TR0019,train_images/TR0019.png,source=Lagoon;target=Vale,2,medium,25,5,3
TR0020,train_images/TR0020.png,source=Park;target=Meadow,3,hard,54,7,6
TR0021,train_images/TR0021.png,source=Beacon;target=Grove,1,easy,7,2,1
TR0022,train_images/TR0022.png,source=River;target=Stone,2,hard,73,9,8
TR0023,train_images/TR0023.png,source=Jade;target=Park,1,medium,22,4,3
TR0024,train_images/TR0024.png,source=Grove;target=Quartz,2,medium,27,5,4
TR0025,train_images/TR0025.png,source=Beacon;target=Brook,2,medium,30,6,5
TR0026,train_images/TR0026.png,source=Harbor;target=Liberty,2,hard,71,9,7
TR0027,train_images/TR0027.png,source=Central;target=Delta,1,easy,14,4,3
TR0028,train_images/TR0028.png,source=Vale;target=Lagoon,0,medium,35,6,5
TR0029,train_images/TR0029.png,source=Forest;target=Union,2,medium,33,6,5
TR0030,train_images/TR0030.png,source=Quartz;target=Forest,1,medium,20,4,2
TR0031,train_images/TR0031.png,source=Summit;target=Elm,1,medium,26,5,3
TR0032,train_images/TR0032.png,source=Summit;target=Ivory,3,hard,62,8,6
TR0033,train_images/TR0033.png,source=Harbor;target=Willow,2,hard,48,6,4
TR0034,train_images/TR0034.png,source=Forest;target=Harbor,0,easy,8,2,1
TR0035,train_images/TR0035.png,source=Beacon;target=Delta,0,easy,14,4,3
TR0036,train_images/TR0036.png,source=Beacon;target=Aster,0,easy,7,2,1
TR0037,train_images/TR0037.png,source=Harbor;target=Central,1,medium,20,4,3
TR0038,train_images/TR0038.png,source=Jade;target=Zenith,2,medium,27,5,3
TR0039,train_images/TR0039.png,source=Iris;target=Elm,0,easy,14,4,3
TR0040,train_images/TR0040.png,source=Beacon;target=River,1,medium,18,4,3
TR0041,train_images/TR0041.png,source=Harbor;target=River,2,medium,20,4,3
TR0042,train_images/TR0042.png,source=Central;target=Elm,1,easy,10,3,2
TR0043,train_images/TR0043.png,source=Yarrow;target=Dawn,1,medium,32,6,5
TR0044,train_images/TR0044.png,source=Falcon;target=Union,1,medium,34,6,4
TR0045,train_images/TR0045.png,source=Central;target=Forest,1,easy,10,4,3
TR0046,train_images/TR0046.png,source=Forest;target=Elm,0,easy,8,2,1
TR0047,train_images/TR0047.png,source=Harbor;target=Aster,0,easy,12,3,2
TR0048,train_images/TR0048.png,source=Vale;target=Nova,1,hard,52,7,5
TR0049,train_images/TR0049.png,source=Ivory;target=Yarrow,4,hard,41,6,5
TR0050,train_images/TR0050.png,source=Harbor;target=Delta,1,easy,15,4,3
TR0051,train_images/TR0051.png,source=Ivory;target=Delta,1,hard,52,7,6
TR0052,train_images/TR0052.png,source=Jade;target=Lagoon,1,easy,15,4,3
TR0053,train_images/TR0053.png,source=Iris;target=Grove,0,easy,13,4,3
TR0054,train_images/TR0054.png,source=Jade;target=Central,0,medium,22,4,3
TR0055,train_images/TR0055.png,source=Aster;target=Kingfisher,0,easy,12,4,1
TR0056,train_images/TR0056.png,source=River;target=Juniper,3,hard,66,9,8
TR0057,train_images/TR0057.png,source=Terrace;target=Maple,1,medium,28,5,3
TR0058,train_images/TR0058.png,source=Cedar;target=River,2,medium,30,6,5
TR0059,train_images/TR0059.png,source=Jade;target=Kingfisher,0,easy,11,4,3
TR0060,train_images/TR0060.png,source=Beacon;target=Delta,0,easy,8,3,2
TR0061,train_images/TR0061.png,source=Orchid;target=Delta,1,medium,20,4,2
TR0062,train_images/TR0062.png,source=Quartz;target=Vale,1,medium,25,5,4
TR0063,train_images/TR0063.png,source=Forest;target=Central,1,easy,12,4,3
TR0064,train_images/TR0064.png,source=Orchid;target=Union,2,medium,25,5,4
TR0065,train_images/TR0065.png,source=Delta;target=Pioneer,2,hard,47,6,5
TR0066,train_images/TR0066.png,source=Vale;target=Ember,2,hard,55,7,6
TR0067,train_images/TR0067.png,source=Delta;target=Central,0,easy,8,2,1
TR0068,train_images/TR0068.png,source=Harbor;target=Central,1,easy,12,3,1
TR0069,train_images/TR0069.png,source=Grove;target=Central,1,easy,16,4,3
TR0070,train_images/TR0070.png,source=Maple;target=Terrace,2,medium,27,6,5
TR0071,train_images/TR0071.png,source=Juniper;target=Elm,1,hard,53,7,5
TR0072,train_images/TR0072.png,source=Forest;target=Terrace,2,medium,30,6,4
TR0073,train_images/TR0073.png,source=Park;target=Terrace,0,medium,25,5,4
TR0074,train_images/TR0074.png,source=Delta;target=Aster,0,easy,15,4,2
TR0075,train_images/TR0075.png,source=Aster;target=Elm,1,easy,11,3,2
TR0076,train_images/TR0076.png,source=Jade;target=Maple,2,medium,20,4,3
TR0077,train_images/TR0077.png,source=Beacon;target=Jade,0,easy,13,4,3
TR0078,train_images/TR0078.png,source=Park;target=Willow,2,medium,32,6,5
TR0079,train_images/TR0079.png,source=Grove;target=Forest,0,easy,8,2,1
TR0080,train_images/TR0080.png,source=Grove;target=Park,0,medium,29,6,4
TR0081,train_images/TR0081.png,source=Iris;target=Park,1,hard,68,9,9
TR0082,train_images/TR0082.png,source=Delta;target=Elm,0,easy,11,3,2
TR0083,train_images/TR0083.png,source=Juniper;target=River,3,hard,58,8,6
TR0084,train_images/TR0084.png,source=Grove;target=Summit,2,medium,25,5,4
TR0085,train_images/TR0085.png,source=Iris;target=Aster,1,easy,13,4,2
TR0086,train_images/TR0086.png,source=Vale;target=River,0,medium,31,6,5
TR0087,train_images/TR0087.png,source=Ember;target=Vale,4,hard,67,9,8
TR0088,train_images/TR0088.png,source=Willow;target=Nova,2,medium,26,5,4
TR0089,train_images/TR0089.png,source=Iris;target=Jade,0,easy,15,4,2
TR0090,train_images/TR0090.png,source=Summit;target=Willow,0,medium,23,4,2
TR0091,train_images/TR0091.png,source=Harbor;target=Elm,1,easy,10,3,1
TR0092,train_images/TR0092.png,source=North;target=Forest,1,hard,66,9,6
TR0093,train_images/TR0093.png,source=Zenith;target=Lagoon,1,medium,31,6,4
TR0094,train_images/TR0094.png,source=Delta;target=Central,0,easy,16,4,3
TR0095,train_images/TR0095.png,source=Aster1;target=Jade,3,hard,72,9,8
TR0096,train_images/TR0096.png,source=Grove;target=Summit,3,medium,21,4,3
TR0097,train_images/TR0097.png,source=Iris;target=Elm,1,easy,10,4,3
TR0098,train_images/TR0098.png,source=Delta;target=Harbor,1,medium,21,4,2
TR0099,train_images/TR0099.png,source=Keystone;target=Forest,1,hard,49,7,5
TR0100,train_images/TR0100.png,source=Ivory;target=North,3,hard,51,7,6
TR0101,train_images/TR0101.png,source=Central;target=Beacon,0,easy,7,2,1
TR0102,train_images/TR0102.png,source=Elm;target=Forest,0,easy,6,2,1
TR0103,train_images/TR0103.png,source=Delta;target=Beacon,0,easy,7,2,1
TR0104,train_images/TR0104.png,source=Lagoon;target=Elm,2,medium,33,6,5
TR0105,train_images/TR0105.png,source=Beacon;target=Park,2,medium,29,6,5
TR0106,train_images/TR0106.png,source=Lagoon;target=Beacon,1,medium,25,5,4
TR0107,train_images/TR0107.png,source=Delta;target=Vale,1,medium,25,5,4
TR0108,train_images/TR0108.png,source=Aster;target=Beacon,0,easy,10,4,3
TR0109,train_images/TR0109.png,source=Elm;target=Park,1,medium,30,6,5
TR0110,train_images/TR0110.png,source=Quartz;target=Aurora,1,medium,32,6,5
TR0111,train_images/TR0111.png,source=Harbor;target=Central,1,medium,20,4,3
TR0112,train_images/TR0112.png,source=Jade;target=Ridge,4,hard,45,6,5
TR0113,train_images/TR0113.png,source=Union;target=Delta,0,medium,22,4,2
TR0114,train_images/TR0114.png,source=Orchid;target=Lagoon,2,medium,33,6,4
TR0115,train_images/TR0115.png,source=Union;target=Echo,3,hard,63,9,9
TR0116,train_images/TR0116.png,source=York;target=Garden,3,hard,62,8,7
TR0117,train_images/TR0117.png,source=Grove;target=Beacon,1,easy,7,2,1
TR0118,train_images/TR0118.png,source=Forest;target=Delta,1,easy,9,3,2
TR0119,train_images/TR0119.png,source=Maple;target=Iris,0,medium,23,4,3
TR0120,train_images/TR0120.png,source=Upland;target=Forest,1,hard,67,9,8
TR0121,train_images/TR0121.png,source=Summit;target=Elm,1,hard,60,8,6
TR0122,train_images/TR0122.png,source=Maple;target=Union,2,hard,59,8,6
TR0123,train_images/TR0123.png,source=Beacon;target=Forest,1,easy,9,3,1
TR0124,train_images/TR0124.png,source=Iris;target=Union,2,medium,25,5,3
TR0125,train_images/TR0125.png,source=Elm;target=Forest,0,easy,6,2,1
TR0126,train_images/TR0126.png,source=Kingfisher;target=Harbor,1,easy,13,4,1
TR0127,train_images/TR0127.png,source=Ivory;target=Birch,3,hard,64,8,7
TR0128,train_images/TR0128.png,source=Aurora;target=Willow,0,medium,33,6,4
TR0129,train_images/TR0129.png,source=Forest;target=Beacon,1,easy,10,3,2
TR0130,train_images/TR0130.png,source=Aster;target=Forest,0,easy,6,2,1
TR0131,train_images/TR0131.png,source=Delta;target=Beacon,1,easy,8,3,2
TR0132,train_images/TR0132.png,source=River;target=Kingfisher,1,medium,32,6,5
TR0133,train_images/TR0133.png,source=North;target=Lagoon,2,hard,45,6,4
TR0134,train_images/TR0134.png,source=Elm;target=Grove,1,easy,10,3,2
TR0135,train_images/TR0135.png,source=Beacon;target=Delta,1,easy,13,4,3
TR0136,train_images/TR0136.png,source=Nova;target=Forest,2,easy,16,4,3
TR0137,train_images/TR0137.png,source=Iris;target=Grove,2,easy,14,4,3
TR0138,train_images/TR0138.png,source=Delta;target=Iris,1,medium,25,5,3
TR0139,train_images/TR0139.png,source=Beacon;target=Harbor,1,easy,8,2,1
TR0140,train_images/TR0140.png,source=Maple;target=Lagoon,0,easy,13,3,2
TR0141,train_images/TR0141.png,source=Delta;target=Elm,0,easy,7,3,2
TR0142,train_images/TR0142.png,source=Quartz;target=Harbor,0,hard,71,9,7
TR0143,train_images/TR0143.png,source=Forest;target=Beacon,1,easy,6,2,1
TR0144,train_images/TR0144.png,source=Jade;target=Aster,0,easy,11,3,1
TR0145,train_images/TR0145.png,source=Aster;target=Elm,0,easy,6,2,1
TR0146,train_images/TR0146.png,source=Delta;target=Iris,1,easy,10,3,1
TR0147,train_images/TR0147.png,source=Elm;target=Aster,0,medium,20,4,3
TR0148,train_images/TR0148.png,source=Forest;target=Iris,1,easy,10,3,2
TR0149,train_images/TR0149.png,source=Delta;target=Beacon,0,easy,5,2,1
TR0150,train_images/TR0150.png,source=Beacon;target=Kingfisher,1,medium,33,6,5
TR0151,train_images/TR0151.png,source=Forest;target=Harbor,0,easy,9,3,2
TR0152,train_images/TR0152.png,source=Central;target=Aster,0,easy,8,2,1
TR0153,train_images/TR0153.png,source=Kingfisher;target=Central,1,medium,22,4,3
TR0154,train_images/TR0154.png,source=Grove;target=Summit,1,medium,34,6,5
TR0155,train_images/TR0155.png,source=Hill;target=Echo,0,medium,36,6,5
TR0156,train_images/TR0156.png,source=Central;target=Elm,1,easy,6,2,1
TR0157,train_images/TR0157.png,source=Union;target=Yarrow,1,medium,28,5,4
TR0158,train_images/TR0158.png,source=Aster;target=Elm,0,easy,8,2,1
TR0159,train_images/TR0159.png,source=Summit;target=North,1,hard,58,7,5
TR0160,train_images/TR0160.png,source=Terrace;target=Central,1,medium,21,4,3
TR0161,train_images/TR0161.png,source=Central;target=Jade,2,easy,11,3,2
TR0162,train_images/TR0162.png,source=Beacon;target=Iris,1,easy,12,4,3
TR0163,train_images/TR0163.png,source=Dawn;target=Ridge,3,hard,53,7,6
TR0164,train_images/TR0164.png,source=Forest;target=Elm,0,easy,11,3,2
TR0165,train_images/TR0165.png,source=Xenia;target=River,2,hard,61,8,7
TR0166,train_images/TR0166.png,source=Elm;target=Harbor,1,medium,20,4,3
TR0167,train_images/TR0167.png,source=Iris;target=Elm,0,medium,22,4,3
TR0168,train_images/TR0168.png,source=Kingfisher;target=Beacon,1,medium,23,4,3
TR0169,train_images/TR0169.png,source=Forest;target=Delta,0,easy,7,2,1
TR0170,train_images/TR0170.png,source=Jetty;target=Iris,2,hard,68,9,8
TR0171,train_images/TR0171.png,source=Central;target=Iris,1,medium,22,4,3
TR0172,train_images/TR0172.png,source=Garden;target=Pioneer,1,hard,48,7,5
TR0173,train_images/TR0173.png,source=Aster;target=Central,0,easy,11,3,2
TR0174,train_images/TR0174.png,source=Delta;target=Orchid,1,medium,26,5,4
TR0175,train_images/TR0175.png,source=Lagoon;target=Iris,0,easy,16,4,3
TR0176,train_images/TR0176.png,source=Ridge;target=Vale,2,hard,48,6,5
TR0177,train_images/TR0177.png,source=Lagoon;target=Central,1,medium,24,5,2
TR0178,train_images/TR0178.png,source=Aster;target=Forest,1,easy,7,2,1
TR0179,train_images/TR0179.png,source=Delta;target=Harbor,0,easy,10,3,1
TR0180,train_images/TR0180.png,source=Yarrow;target=Meadow,2,hard,44,6,5
TR0181,train_images/TR0181.png,source=Summit;target=Central,1,medium,25,5,4
TR0182,train_images/TR0182.png,source=Beacon;target=Aster,0,easy,5,2,1
TR0183,train_images/TR0183.png,source=Elm;target=Lagoon,1,easy,13,4,2
TR0184,train_images/TR0184.png,source=Zenith;target=Jade,1,medium,28,6,4
TR0185,train_images/TR0185.png,source=North;target=Garden,2,hard,48,7,6
TR0186,train_images/TR0186.png,source=Elm;target=Aster,0,medium,18,4,3
TR0187,train_images/TR0187.png,source=Lagoon;target=Grove,1,easy,13,4,2
TR0188,train_images/TR0188.png,source=Delta;target=Elm,0,easy,7,2,1
TR0189,train_images/TR0189.png,source=Union;target=Xenia,1,medium,27,5,3
TR0190,train_images/TR0190.png,source=Beacon;target=Jade,1,medium,25,5,4
TR0191,train_images/TR0191.png,source=Summit;target=Brook,0,medium,34,6,5
TR0192,train_images/TR0192.png,source=Iris;target=Park,2,medium,26,5,4
TR0193,train_images/TR0193.png,source=Central;target=Harbor,1,easy,8,2,1
TR0194,train_images/TR0194.png,source=Maple;target=Queens,3,hard,54,7,6
TR0195,train_images/TR0195.png,source=Liberty;target=Cedar,2,hard,45,6,5
TR0196,train_images/TR0196.png,source=Aster;target=Grove,1,easy,7,2,1
TR0197,train_images/TR0197.png,source=Xenia;target=Lagoon,2,medium,25,5,4
TR0198,train_images/TR0198.png,source=Jade;target=Aster,0,easy,14,4,2
TR0199,train_images/TR0199.png,source=Jade;target=Zenith,1,medium,32,6,5
TR0200,train_images/TR0200.png,source=River;target=Kingfisher,1,medium,22,4,3
TR0201,train_images/TR0201.png,source=Willow;target=Liberty,2,hard,41,6,4
TR0202,train_images/TR0202.png,source=Beacon;target=Maple,2,medium,20,4,3
TR0203,train_images/TR0203.png,source=Yarrow;target=Quartz,2,medium,30,6,4
TR0204,train_images/TR0204.png,source=Grove;target=Union,1,medium,22,4,3
TR0205,train_images/TR0205.png,source=Kingfisher;target=Delta,1,easy,13,3,2
TR0206,train_images/TR0206.png,source=Jade;target=Central,1,easy,14,4,3
TR0207,train_images/TR0207.png,source=Beacon;target=Aster,0,easy,6,2,1
TR0208,train_images/TR0208.png,source=Grove;target=Delta,0,easy,8,2,1
TR0209,train_images/TR0209.png,source=Xenia;target=Summit,2,medium,31,6,3
TR0210,train_images/TR0210.png,source=Juniper;target=Dawn,2,hard,57,8,7
TR0211,train_images/TR0211.png,source=West;target=Echo,2,hard,52,8,6
TR0212,train_images/TR0212.png,source=Central;target=Summit,2,medium,33,6,5
TR0213,train_images/TR0213.png,source=Maple;target=Union,3,medium,25,5,4
TR0214,train_images/TR0214.png,source=Aster;target=Summit,1,medium,25,5,3
TR0215,train_images/TR0215.png,source=Union;target=Dawn,0,medium,30,6,5
TR0216,train_images/TR0216.png,source=Beacon;target=Elm,1,easy,7,2,1
TR0217,train_images/TR0217.png,source=Aster;target=Grove,0,easy,7,2,1
TR0218,train_images/TR0218.png,source=Beacon;target=Elm,0,easy,9,3,2
TR0219,train_images/TR0219.png,source=Oak;target=Vale,3,hard,48,6,5
TR0220,train_images/TR0220.png,source=Lagoon;target=Harbor,2,medium,21,4,3
TR0221,train_images/TR0221.png,source=Harbor;target=Quartz,2,medium,24,4,3
TR0222,train_images/TR0222.png,source=Maple;target=West,1,hard,61,8,6
TR0223,train_images/TR0223.png,source=Lagoon;target=Delta,1,hard,50,6,4
TR0224,train_images/TR0224.png,source=Delta;target=Orchid,2,medium,18,4,3
TR0225,train_images/TR0225.png,source=Elm;target=Beacon,1,easy,5,2,1
TR0226,train_images/TR0226.png,source=Vale;target=Beacon,1,medium,27,5,4
TR0227,train_images/TR0227.png,source=Terrace;target=Forest,1,medium,21,4,3
TR0228,train_images/TR0228.png,source=Terrace;target=Upland,3,hard,48,6,5
TR0229,train_images/TR0229.png,source=Grove;target=Forest,0,easy,14,4,3
TR0230,train_images/TR0230.png,source=Zenith;target=Ivory,3,hard,51,7,5
TR0231,train_images/TR0231.png,source=Forest;target=Elm,1,easy,7,2,1
TR0232,train_images/TR0232.png,source=Iris;target=Beacon,1,medium,19,4,3
TR0233,train_images/TR0233.png,source=Dawn;target=Beacon,2,hard,58,8,7
TR0234,train_images/TR0234.png,source=Aster;target=Grove,1,easy,11,4,3
TR0235,train_images/TR0235.png,source=Forest;target=River,1,medium,24,4,3
TR0236,train_images/TR0236.png,source=Forest;target=Grove,0,easy,8,3,2
TR0237,train_images/TR0237.png,source=Garden;target=Zenith,2,hard,55,7,5
TR0238,train_images/TR0238.png,source=Maple;target=Jade,1,medium,20,4,3
TR0239,train_images/TR0239.png,source=Lagoon;target=Central,1,medium,28,5,4
TR0240,train_images/TR0240.png,source=Ridge;target=Terrace,1,hard,59,8,5
TR0241,train_images/TR0241.png,source=Aster;target=Elm,1,easy,12,4,3
TR0242,train_images/TR0242.png,source=Vista;target=Elm,2,hard,51,7,6
TR0243,train_images/TR0243.png,source=Delta;target=Vale,2,medium,27,5,4
TR0244,train_images/TR0244.png,source=Zenith;target=Forest,2,medium,28,6,5
TR0245,train_images/TR0245.png,source=Elm;target=Jade,1,easy,12,3,2
TR0246,train_images/TR0246.png,source=Grove;target=Delta,0,easy,12,4,2
TR0247,train_images/TR0247.png,source=Vale;target=Kingfisher,2,hard,54,7,6
TR0248,train_images/TR0248.png,source=Elm;target=Aster,1,easy,6,2,1
TR0249,train_images/TR0249.png,source=Elm;target=Willow,2,medium,28,5,4
TR0250,train_images/TR0250.png,source=Delta;target=Xenia,1,medium,32,6,5
TR0251,train_images/TR0251.png,source=Beacon;target=Quartz,2,medium,20,4,2
TR0252,train_images/TR0252.png,source=Orchid;target=Birch,2,hard,55,8,7
TR0253,train_images/TR0253.png,source=Central;target=Delta,0,easy,7,2,1
TR0254,train_images/TR0254.png,source=Central;target=Elm,1,easy,8,3,2
TR0255,train_images/TR0255.png,source=Harbor;target=Elm,0,easy,11,3,2
TR0256,train_images/TR0256.png,source=Nova;target=Jade,1,medium,21,5,4
TR0257,train_images/TR0257.png,source=Maple;target=Central,1,medium,25,5,4
TR0258,train_images/TR0258.png,source=Hill;target=Tower,1,hard,48,6,5
TR0259,train_images/TR0259.png,source=Lagoon;target=Harbor,2,easy,12,4,2
TR0260,train_images/TR0260.png,source=Beacon;target=Park,0,medium,35,6,5
TR0261,train_images/TR0261.png,source=Beacon;target=Central,0,easy,7,2,1
TR0262,train_images/TR0262.png,source=Beacon;target=Park,1,medium,25,5,4
TR0263,train_images/TR0263.png,source=Grove;target=Union,1,medium,33,6,5
TR0264,train_images/TR0264.png,source=Central;target=Beacon,0,easy,9,2,1
TR0265,train_images/TR0265.png,source=Aster;target=Harbor,1,medium,19,4,3
TR0266,train_images/TR0266.png,source=Dawn;target=Willow,2,medium,32,6,4
TR0267,train_images/TR0267.png,source=Forest;target=Harbor,0,easy,9,3,2
TR0268,train_images/TR0268.png,source=Queens;target=Iris,3,hard,57,8,6
TR0269,train_images/TR0269.png,source=Terrace;target=Delta,1,medium,28,6,5
TR0270,train_images/TR0270.png,source=Nova;target=Willow,1,medium,34,6,4
TR0271,train_images/TR0271.png,source=Ridge;target=Glade,4,hard,63,8,6
TR0272,train_images/TR0272.png,source=Jade;target=Elm,1,medium,24,5,3
TR0273,train_images/TR0273.png,source=Elm;target=River,2,medium,22,4,3
TR0274,train_images/TR0274.png,source=Central;target=Elm,0,easy,13,4,3
TR0275,train_images/TR0275.png,source=Grove;target=Maple,2,medium,30,6,5
TR0276,train_images/TR0276.png,source=Forest;target=River,1,medium,27,5,4
TR0277,train_images/TR0277.png,source=Harbor;target=Zenith,1,medium,28,5,4
TR0278,train_images/TR0278.png,source=Forest;target=Delta,1,easy,8,3,1
TR0279,train_images/TR0279.png,source=Central;target=Quartz,1,medium,22,4,3
TR0280,train_images/TR0280.png,source=Central;target=Park,1,medium,28,5,4
TR0281,train_images/TR0281.png,source=Terrace;target=Maple,2,medium,23,5,4
TR0282,train_images/TR0282.png,source=Elm;target=Kingfisher,0,easy,12,3,2
TR0283,train_images/TR0283.png,source=Beacon;target=Harbor,1,easy,10,3,2
TR0284,train_images/TR0284.png,source=Union;target=Grove,0,medium,21,4,3
TR0285,train_images/TR0285.png,source=Forest;target=Nova,1,medium,23,5,4
TR0286,train_images/TR0286.png,source=Kingfisher;target=Nova,3,medium,17,4,3
TR0287,train_images/TR0287.png,source=Aster;target=Nova,2,medium,21,4,3
TR0288,train_images/TR0288.png,source=Delta;target=Aster,0,easy,11,3,2
TR0289,train_images/TR0289.png,source=Delta;target=Elm,0,easy,13,4,2
TR0290,train_images/TR0290.png,source=Central;target=Forest,1,easy,14,4,3
TR0291,train_images/TR0291.png,source=Harbor;target=York,1,hard,54,6,4
TR0292,train_images/TR0292.png,source=Kingfisher;target=Union,2,hard,45,6,5
TR0293,train_images/TR0293.png,source=Forest;target=Maple,1,medium,21,4,2
TR0294,train_images/TR0294.png,source=Aster;target=Delta,0,easy,10,3,2
TR0295,train_images/TR0295.png,source=Keystone;target=Xenia,3,hard,47,6,5
TR0296,train_images/TR0296.png,source=Orchid;target=Delta,1,medium,20,4,3
TR0297,train_images/TR0297.png,source=Iris;target=Forest,1,easy,12,4,3
TR0298,train_images/TR0298.png,source=Jade;target=Delta,0,easy,11,3,2
TR0299,train_images/TR0299.png,source=Beacon;target=Willow,1,medium,30,6,5
TR0300,train_images/TR0300.png,source=Harbor;target=Aster,0,easy,15,4,3
TR0301,train_images/TR0301.png,source=Echo;target=Meadow,3,hard,49,7,6
TR0302,train_images/TR0302.png,source=Delta;target=Aster,0,easy,7,2,1
TR0303,train_images/TR0303.png,source=Pioneer;target=Willow,2,hard,53,7,7
TR0304,train_images/TR0304.png,source=Delta;target=Elm,0,easy,8,2,1
TR0305,train_images/TR0305.png,source=Grove;target=Nova,1,medium,20,4,2
TR0306,train_images/TR0306.png,source=Delta;target=Central,0,easy,8,3,2
TR0307,train_images/TR0307.png,source=Jade;target=Vale,2,hard,49,6,4
TR0308,train_images/TR0308.png,source=Aster;target=Central,0,easy,9,3,2
TR0309,train_images/TR0309.png,source=Elm;target=Quartz,0,medium,32,6,4
TR0310,train_images/TR0310.png,source=Forest;target=Grove,0,easy,9,3,2
TR0311,train_images/TR0311.png,source=Aster;target=Elm,0,medium,28,6,5
TR0312,train_images/TR0312.png,source=Juniper;target=Upland,2,hard,50,6,3
TR0313,train_images/TR0313.png,source=Beacon;target=Union,1,medium,31,6,5
TR0314,train_images/TR0314.png,source=Forest;target=Beacon,1,easy,12,3,2
TR0315,train_images/TR0315.png,source=Beacon;target=Elm,0,easy,6,2,1
TR0316,train_images/TR0316.png,source=Delta;target=Beacon,0,easy,6,2,1
TR0317,train_images/TR0317.png,source=Aster;target=Elm,1,easy,9,3,2
TR0318,train_images/TR0318.png,source=Hill;target=Kingfisher,3,hard,50,7,7
TR0319,train_images/TR0319.png,source=Ridge;target=Nova,3,hard,55,7,5
TR0320,train_images/TR0320.png,source=Harbor;target=Elm,1,medium,21,4,2
TR0321,train_images/TR0321.png,source=Aster;target=Beacon,0,easy,12,3,2
TR0322,train_images/TR0322.png,source=Juniper;target=Echo,4,hard,61,8,8
TR0323,train_images/TR0323.png,source=Iris;target=Grove,1,easy,10,4,3
TR0324,train_images/TR0324.png,source=Yarrow;target=Union,1,hard,50,7,5
TR0325,train_images/TR0325.png,source=Harbor;target=Forest,0,easy,13,4,3
TR0326,train_images/TR0326.png,source=Elm;target=Beacon,0,easy,6,2,1
TR0327,train_images/TR0327.png,source=Iris;target=Quartz,2,medium,21,4,3
TR0328,train_images/TR0328.png,source=Willow;target=Aster,1,medium,27,5,4
TR0329,train_images/TR0329.png,source=Elm;target=Falcon,1,medium,34,6,5
TR0330,train_images/TR0330.png,source=Elm;target=Aster,1,easy,6,2,1
TR0331,train_images/TR0331.png,source=Harbor;target=Central,1,easy,10,3,2
TR0332,train_images/TR0332.png,source=Elm;target=Grove,0,easy,10,4,3
